City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,olinda,-8.0089,-34.8553,82.4,61,40,9.22,BR,1613824932
190,gat,31.61,34.7642,62.01,54,54,12.8,IL,1613824794
191,mora,11.0461,14.1401,86.97,12,0,3.71,CM,1613825225
192,aksu,41.1231,80.2644,45.09,49,51,6.62,CN,1613824960
193,taksimo,56.3444,114.8794,-13.58,81,100,1.52,RU,1613825225
194,arraial do cabo,-22.9661,-42.0278,82.4,83,20,8.05,BR,1613824539
195,banyo,6.75,11.8167,92.26,14,0,4.61,CM,1613824551
196,victoria,22.2855,114.1577,68.0,71,83,6.82,HK,1613824707
197,marzuq,14.4,46.4667,83.5,19,6,5.88,YE,1613824868
198,sirsi,14.6167,74.85,76.77,42,61,0.81,IN,1613825226
199,namibe,-15.1961,12.1522,80.6,50,0,13.8,AO,1613824493
200,sheoganj,25.15,73.0667,76.68,17,0,6.87,IN,1613825227
201,bhatapara,21.7333,81.9333,80.6,50,75,3.44,IN,1613825078
202,te anau,-45.4167,167.7167,49.89,76,65,2.24,NZ,1613824825
203,igrim,63.1906,64.4162,-17.79,88,100,4.43,RU,1613825227
204,clyde river,70.4692,-68.5914,-25.6,56,1,4.61,CA,1613824695
205,kirakira,-10.4544,161.9205,81.0,80,93,5.32,SB,1613824843
206,deloraine,-41.5333,146.6667,55.99,91,0,0.45,AU,1613825228
207,thompson,55.7435,-97.8558,-2.2,84,40,4.61,CA,1613824677
208,fortuna,40.5982,-124.1573,46.99,100,90,14.97,US,1613824749
209,omboue,-1.5746,9.2618,82.42,74,98,6.13,GA,1613824496
210,alto araguaia,-17.3147,-53.2153,79.14,73,1,5.17,BR,1613825228
211,el porvenir,13.7617,-87.3458,75.2,82,40,3.44,HN,1613825229
212,kloulklubed,7.0419,134.2556,78.8,89,90,12.66,PW,1613824793
213,ribeira grande,38.5167,-28.7,55.4,58,40,20.71,PT,1613824678
214,seymchan,62.8833,152.4333,-25.42,80,99,4.38,RU,1613825229
215,nizwa,22.9333,57.5333,84.42,14,0,7.78,OM,1613825229
216,rabo de peixe,37.8,-25.5833,55.4,58,20,18.41,PT,1613825230
217,joao camara,-5.5375,-35.8197,86.0,62,75,12.66,BR,1613825230
218,katsuura,35.1333,140.3,59.0,41,0,12.66,JP,1613824452
219,maxixe,-23.8597,35.3472,86.52,71,100,12.8,MZ,1613825213
220,pimentel,-6.8367,-79.9342,69.8,83,90,10.36,PE,1613825231
221,lompoc,34.6391,-120.4579,50.0,87,1,9.22,US,1613824563
222,gizo,-8.103,156.8419,83.79,70,87,1.48,SB,1613824781
223,shimoda,34.6667,138.95,50.0,50,0,1.99,JP,1613824867
224,kysyl-syr,63.8986,122.7617,-27.92,85,91,2.39,RU,1613825232
225,chenzhou,25.8,113.0333,63.14,60,0,2.57,CN,1613825018
226,alofi,-19.0595,-169.9187,77.0,88,96,11.5,NU,1613824583
